"precinct","candidate_1","candidate_2","candidate_3","candidate_4","candidate_5","candidate_6","votes_1","votes_2","votes_3","votes_4","votes_5","votes_6","party_1","party_2","party_3","party_4","party_5","party_6","total_votes","percent_votes_1","percent_votes_2","percent_votes_3","percent_votes_4","percent_votes_5","percent_votes_6"
"08-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",772,709,400,356,351,304,"republican","republican","democrat","democrat","democrat","democrat",2892,26.6943291839557,24.5159059474412,13.8312586445367,12.3098201936376,12.1369294605809,10.5117565698479
"09-001","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1054,1014,1001,860,815,560,"republican","republican","democrat","democrat","democrat","democrat",5304,19.8717948717949,19.1176470588235,18.8725490196078,16.2141779788839,15.3657616892911,10.5580693815988
"09-002","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1734,1652,1412,1283,1165,1049,"republican","republican","democrat","democrat","democrat","democrat",8295,20.9041591320072,19.915611814346,17.0223025919228,15.4671488848704,14.0446051838457,12.6461723930078
"09-003","Janie Monier","Josh Bokee","Jaime Kiersten Brennan","Chad King Wilson, Sr.","Colt Morningstar Black","Veronica D. Lowe",823,793,738,736,693,644,"democrat","democrat","republican","democrat","republican","democrat",4427,18.5904675852722,17.9128077704992,16.6704314434154,16.6252541224305,15.6539417212559,14.5470973571267
"09-004","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1216,1202,927,865,775,604,"republican","republican","democrat","democrat","democrat","democrat",5589,21.7570227232063,21.5065306852746,16.5861513687601,15.4768294864913,13.8665235283593,10.8069422079084
"09-005","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",506,505,488,443,419,273,"republican","republican","democrat","democrat","democrat","democrat",2634,19.2103264996204,19.1723614274867,18.5269552012149,16.8185269552012,15.9073652239939,10.3644646924829
"09-006","Janie Monier","Josh Bokee","Jaime Kiersten Brennan","Chad King Wilson, Sr.","Colt Morningstar Black","Veronica D. Lowe",1585,1483,1368,1331,1282,1093,"democrat","democrat","republican","democrat","republican","democrat",8142,19.466961434537,18.2141979857529,16.8017686072218,16.3473348071727,15.7455170719725,13.4242200933432
"09-007","Jaime Kiersten Brennan","Janie Monier","Colt Morningstar Black","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1774,1736,1662,1631,1496,1118,"republican","democrat","republican","democrat","democrat","democrat",9417,18.8382712116385,18.4347456727196,17.6489327811405,17.3197408941276,15.8861633216523,11.8721461187215
"10-001","Colt Morningstar Black","Jaime Kiersten Brennan","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe",369,305,143,124,110,88,"republican","republican","democrat","democrat","democrat","democrat",1139,32.396839332748,26.7778753292362,12.5548726953468,10.8867427568042,9.657594381036,7.7260755048288
"10-002","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",361,323,134,124,120,114,"republican","republican","democrat","democrat","democrat","democrat",1176,30.6972789115646,27.4659863945578,11.3945578231293,10.5442176870748,10.2040816326531,9.69387755102041
"11-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1049,918,496,485,389,333,"republican","republican","democrat","democrat","democrat","democrat",3670,28.58310626703,25.0136239782016,13.5149863760218,13.2152588555858,10.5994550408719,9.07356948228883
"12-001","Jaime Kiersten Brennan","Colt Morningstar Black","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe",1143,1090,1027,1011,988,852,"republican","republican","democrat","democrat","democrat","democrat",6111,18.7039764359352,17.8366879397807,16.8057601047292,16.5439371624939,16.1675666830306,13.9420716740304
"13-001","Janie Monier","Jaime Kiersten Brennan","Josh Bokee","Colt Morningstar Black","Chad King Wilson, Sr.","Veronica D. Lowe",1622,1599,1576,1506,1472,1009,"democrat","republican","democrat","republican","democrat","democrat",8784,18.4653916211293,18.2035519125683,17.9417122040073,17.1448087431694,16.7577413479053,11.4867941712204
"13-003","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",224,188,182,182,166,161,"republican","republican","democrat","democrat","democrat","democrat",1103,20.3082502266546,17.0444242973708,16.5004533091568,16.5004533091568,15.0498640072529,14.596554850408
"14-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1435,1427,1116,1037,932,722,"republican","republican","democrat","democrat","democrat","democrat",6669,21.5174688858899,21.3975108711951,16.7341430499325,15.5495576548208,13.9751087119508,10.8262108262108
"15-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",349,289,149,123,111,98,"republican","republican","democrat","democrat","democrat","democrat",1119,31.1885612153709,25.8266309204647,13.3154602323503,10.9919571045576,9.91957104557641,8.75781948168007
"15-002","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",2251,2027,1124,1042,965,825,"republican","republican","democrat","democrat","democrat","democrat",8234,27.3378673791596,24.6174398834102,13.6507165411708,12.6548457614768,11.719698809813,10.0194316249696
"15-003","Colt Morningstar Black","Jaime Kiersten Brennan","Veronica D. Lowe","Josh Bokee","Chad King Wilson, Sr.","Janie Monier",38,24,10,9,7,7,"republican","republican","democrat","democrat","democrat","democrat",95,40,25.2631578947368,10.5263157894737,9.47368421052632,7.36842105263158,7.36842105263158
"16-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1213,1191,846,794,763,495,"republican","republican","democrat","democrat","democrat","democrat",5302,22.8781591852131,22.463221425877,15.9562429271973,14.9754809505847,14.3907959260656,9.33609958506224
"17-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",658,529,285,269,267,224,"republican","republican","democrat","democrat","democrat","democrat",2232,29.4802867383513,23.7007168458781,12.7688172043011,12.0519713261649,11.9623655913978,10.0358422939068
"18-001","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",952,844,712,628,578,434,"republican","republican","democrat","democrat","democrat","democrat",4148,22.9508196721311,20.3471552555448,17.1648987463838,15.1398264223722,13.9344262295082,10.4628736740598
"18-002","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1801,1777,1176,1071,952,771,"republican","republican","democrat","democrat","democrat","democrat",7548,23.8606253312136,23.5426603073662,15.5802861685215,14.1891891891892,12.6126126126126,10.214626391097
"19-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",539,469,262,248,214,202,"republican","republican","democrat","democrat","democrat","democrat",1934,27.8697001034126,24.2502585315408,13.5470527404343,12.82316442606,11.0651499482937,10.4446742502585
