"precinct","candidate_1","candidate_2","candidate_3","candidate_4","candidate_5","candidate_6","votes_1","votes_2","votes_3","votes_4","votes_5","votes_6","party_1","party_2","party_3","party_4","party_5","party_6","total_votes","percent_votes_1","percent_votes_2","percent_votes_3","percent_votes_4","percent_votes_5","percent_votes_6"
"18-002","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1801,1777,1176,1071,952,771,"*","*","^","^","^","^",7548,24,24,16,14,13,10
"19-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",539,469,262,248,214,202,"*","*","^","^","^","^",1934,28,24,14,13,11,10
"20-001","Colt Morningstar Black","Jaime Kiersten Brennan","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe",966,889,512,477,449,344,"*","*","^","^","^","^",3637,27,24,14,13,12,9
"21-001","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",760,758,757,741,622,492,"*","*","^","^","^","^",4130,18,18,18,18,15,12
"21-002","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",783,778,695,555,526,464,"^","^","^","^","*","*",3801,21,20,18,15,14,12
"21-003","Josh Bokee","Janie Monier","Veronica D. Lowe","Jaime Kiersten Brennan","Chad King Wilson, Sr.","Colt Morningstar Black",1696,1660,1603,1539,1508,1342,"^","^","^","*","^","*",9348,18,18,17,16,16,14
"21-009","Veronica D. Lowe","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black",129,117,116,114,104,80,"^","^","^","^","*","*",660,20,18,18,17,16,12
"22-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",403,373,322,307,305,214,"*","*","^","^","^","^",1924,21,19,17,16,16,11
"23-001","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",512,472,367,348,346,269,"*","*","^","^","^","^",2314,22,20,16,15,15,12
"23-002","Janie Monier","Veronica D. Lowe","Josh Bokee","Chad King Wilson, Sr.","Colt Morningstar Black","Jaime Kiersten Brennan",9,8,6,5,5,5,"^","^","^","^","*","*",38,24,21,16,13,13,13
"23-005","Veronica D. Lowe","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black",1113,1080,1044,1006,982,855,"^","^","^","^","*","*",6080,18,18,17,17,16,14
"24-001","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Jaime Kiersten Brennan","Colt Morningstar Black","Veronica D. Lowe",788,731,727,705,702,433,"^","^","^","*","*","^",4086,19,18,18,17,17,11
"24-002","Janie Monier","Jaime Kiersten Brennan","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe","Colt Morningstar Black",675,633,633,625,613,538,"^","*","^","^","^","*",3717,18,17,17,17,16,14
"25-001","Janie Monier","Jaime Kiersten Brennan","Colt Morningstar Black","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1026,976,958,930,903,811,"^","*","*","^","^","^",5604,18,17,17,17,16,14
"26-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1250,1237,1070,1048,960,734,"*","*","^","^","^","^",6299,20,20,17,17,15,12
"26-002","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",999,990,770,758,728,577,"*","*","^","^","^","^",4822,21,21,16,16,15,12
