"precinct","candidate_1","candidate_2","candidate_3","candidate_4","candidate_5","candidate_6","votes_1","votes_2","votes_3","votes_4","votes_5","votes_6"
"09-006","Janie Monier","Josh Bokee","Jaime Kiersten Brennan","Chad King Wilson, Sr.","Colt Morningstar Black","Veronica D. Lowe",1585,1483,1368,1331,1282,1093
"09-007","Jaime Kiersten Brennan","Janie Monier","Colt Morningstar Black","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1774,1736,1662,1631,1496,1118
"10-001","Colt Morningstar Black","Jaime Kiersten Brennan","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe",369,305,143,124,110,88
"10-002","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",361,323,134,124,120,114
"11-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1049,918,496,485,389,333
"12-001","Jaime Kiersten Brennan","Colt Morningstar Black","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe",1143,1090,1027,1011,988,852
"13-001","Janie Monier","Jaime Kiersten Brennan","Josh Bokee","Colt Morningstar Black","Chad King Wilson, Sr.","Veronica D. Lowe",1622,1599,1576,1506,1472,1009
"13-003","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",224,188,182,182,166,161
"14-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1435,1427,1116,1037,932,722
"15-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",349,289,149,123,111,98
"15-002","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",2251,2027,1124,1042,965,825
"15-003","Colt Morningstar Black","Jaime Kiersten Brennan","Veronica D. Lowe","Josh Bokee","Chad King Wilson, Sr.","Janie Monier",38,24,10,9,7,7
"16-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1213,1191,846,794,763,495
"17-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",658,529,285,269,267,224
"18-001","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",952,844,712,628,578,434
"18-002","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1801,1777,1176,1071,952,771
"19-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",539,469,262,248,214,202
"20-001","Colt Morningstar Black","Jaime Kiersten Brennan","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe",966,889,512,477,449,344
"21-001","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",760,758,757,741,622,492
"21-002","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",783,778,695,555,526,464
"21-003","Josh Bokee","Janie Monier","Veronica D. Lowe","Jaime Kiersten Brennan","Chad King Wilson, Sr.","Colt Morningstar Black",1696,1660,1603,1539,1508,1342
"21-009","Veronica D. Lowe","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black",129,117,116,114,104,80
"22-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",403,373,322,307,305,214
"23-001","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",512,472,367,348,346,269
"23-002","Janie Monier","Veronica D. Lowe","Josh Bokee","Chad King Wilson, Sr.","Colt Morningstar Black","Jaime Kiersten Brennan",9,8,6,5,5,5
"23-005","Veronica D. Lowe","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black",1113,1080,1044,1006,982,855
"24-001","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Jaime Kiersten Brennan","Colt Morningstar Black","Veronica D. Lowe",788,731,727,705,702,433
"24-002","Janie Monier","Jaime Kiersten Brennan","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe","Colt Morningstar Black",675,633,633,625,613,538
"25-001","Janie Monier","Jaime Kiersten Brennan","Colt Morningstar Black","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1026,976,958,930,903,811
"26-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1250,1237,1070,1048,960,734
"26-002","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",999,990,770,758,728,577
