"precinct","candidate","votes"
"09-001","Josh Bokee (10072072.0001150)",860
"09-001","Veronica D. Lowe (10072072.0002200)",560
"09-001","or write-in:",55
"09-001","overvote",5
"09-001","undervote",1050
"09-001",NA,454
"09-002","Chad King Wilson, Sr. (10072072.0001530)",1165
"09-002","Colt Morningstar Black (10072072.0001100)",1652
"09-002","Jaime Kiersten Brennan (10072072.0001390)",1734
"09-002","Janie Monier (10072072.0001460)",1412
"09-002","Josh Bokee (10072072.0001150)",1283
"09-002","Veronica D. Lowe (10072072.0002200)",1049
"09-002","or write-in:",123
"09-002","overvote",5
"09-002","undervote",1623
"09-002",NA,656
"09-003","Chad King Wilson, Sr. (10072072.0001530)",736
"09-003","Colt Morningstar Black (10072072.0001100)",693
"09-003","Jaime Kiersten Brennan (10072072.0001390)",738
"09-003","Janie Monier (10072072.0001460)",823
"09-003","Josh Bokee (10072072.0001150)",793
"09-003","Veronica D. Lowe (10072072.0002200)",644
"09-003","or write-in:",44
"09-003","overvote",6
"09-003","undervote",864
"09-003",NA,215
"09-004","Chad King Wilson, Sr. (10072072.0001530)",775
"09-004","Colt Morningstar Black (10072072.0001100)",1202
"09-004","Jaime Kiersten Brennan (10072072.0001390)",1216
"09-004","Janie Monier (10072072.0001460)",927
"09-004","Josh Bokee (10072072.0001150)",865
"09-004","Veronica D. Lowe (10072072.0002200)",604
"09-004","or write-in:",83
"09-004","overvote",9
"09-004","undervote",1294
"09-004",NA,454
"09-005","Chad King Wilson, Sr. (10072072.0001530)",419
"09-005","Colt Morningstar Black (10072072.0001100)",506
"09-005","Jaime Kiersten Brennan (10072072.0001390)",505
"09-005","Janie Monier (10072072.0001460)",488
"09-005","Josh Bokee (10072072.0001150)",443
"09-005","Veronica D. Lowe (10072072.0002200)",273
"09-005","or write-in:",33
"09-005","overvote",1
"09-005","undervote",500
"09-005",NA,173
"09-006","Chad King Wilson, Sr. (10072072.0001530)",1331
"09-006","Colt Morningstar Black (10072072.0001100)",1282
"09-006","Jaime Kiersten Brennan (10072072.0001390)",1368
"09-006","Janie Monier (10072072.0001460)",1585
"09-006","Josh Bokee (10072072.0001150)",1483
"09-006","Veronica D. Lowe (10072072.0002200)",1093
"09-006","or write-in:",74
"09-006","overvote",6
"09-006","undervote",1667
"09-006",NA,407
"09-007","Chad King Wilson, Sr. (10072072.0001530)",1496
"09-007","Colt Morningstar Black (10072072.0001100)",1662
"09-007","Jaime Kiersten Brennan (10072072.0001390)",1774
"09-007","Janie Monier (10072072.0001460)",1736
"09-007","Josh Bokee (10072072.0001150)",1631
"09-007","Veronica D. Lowe (10072072.0002200)",1118
"09-007","or write-in:",124
"09-007","overvote",12
"09-007","undervote",1806
"09-007",NA,611
"10-001","Chad King Wilson, Sr. (10072072.0001530)",110
"10-001","Colt Morningstar Black (10072072.0001100)",369
"10-001","Jaime Kiersten Brennan (10072072.0001390)",305
"10-001","Janie Monier (10072072.0001460)",124
"10-001","Josh Bokee (10072072.0001150)",143
"10-001","Veronica D. Lowe (10072072.0002200)",88
"10-001","or write-in:",23
"10-001","undervote",331
"10-001",NA,144
"10-002","Chad King Wilson, Sr. (10072072.0001530)",124
"10-002","Colt Morningstar Black (10072072.0001100)",361
"10-002","Jaime Kiersten Brennan (10072072.0001390)",323
"10-002","Janie Monier (10072072.0001460)",134
"10-002","Josh Bokee (10072072.0001150)",120
"10-002","Veronica D. Lowe (10072072.0002200)",114
"10-002","or write-in:",43
"10-002","undervote",330
"10-002",NA,124
"11-001","Chad King Wilson, Sr. (10072072.0001530)",389
"11-001","Colt Morningstar Black (10072072.0001100)",1049
"11-001","Jaime Kiersten Brennan (10072072.0001390)",918
"11-001","Janie Monier (10072072.0001460)",496
"11-001","Josh Bokee (10072072.0001150)",485
"11-001","Veronica D. Lowe (10072072.0002200)",333
"11-001","or write-in:",72
"11-001","overvote",1
"11-001","undervote",924
"11-001",NA,426
"12-001","Chad King Wilson, Sr. (10072072.0001530)",988
"12-001","Colt Morningstar Black (10072072.0001100)",1090
"12-001","Jaime Kiersten Brennan (10072072.0001390)",1143
"12-001","Janie Monier (10072072.0001460)",1011
"12-001","Josh Bokee (10072072.0001150)",1027
"12-001","Veronica D. Lowe (10072072.0002200)",852
"12-001","or write-in:",68
"12-001","overvote",3
"12-001","undervote",1300
"12-001",NA,401
"13-001","Chad King Wilson, Sr. (10072072.0001530)",1472
"13-001","Colt Morningstar Black (10072072.0001100)",1506
"13-001","Jaime Kiersten Brennan (10072072.0001390)",1599
"13-001","Janie Monier (10072072.0001460)",1622
"13-001","Josh Bokee (10072072.0001150)",1576
"13-001","Veronica D. Lowe (10072072.0002200)",1009
"13-001","or write-in:",96
"13-001","overvote",5
"13-001","undervote",1849
"13-001",NA,498
"13-003","Chad King Wilson, Sr. (10072072.0001530)",166
"13-003","Colt Morningstar Black (10072072.0001100)",188
"13-003","Jaime Kiersten Brennan (10072072.0001390)",224
"13-003","Janie Monier (10072072.0001460)",182
"13-003","Josh Bokee (10072072.0001150)",182
"13-003","Veronica D. Lowe (10072072.0002200)",161
"13-003","or write-in:",8
"13-003","undervote",247
"13-003",NA,52
"14-001","Chad King Wilson, Sr. (10072072.0001530)",932
"14-001","Colt Morningstar Black (10072072.0001100)",1435
"14-001","Jaime Kiersten Brennan (10072072.0001390)",1427
"14-001","Janie Monier (10072072.0001460)",1116
"14-001","Josh Bokee (10072072.0001150)",1037
"14-001","Veronica D. Lowe (10072072.0002200)",722
"14-001","or write-in:",117
"14-001","overvote",1
"14-001","undervote",1403
"14-001",NA,599
"15-001","Chad King Wilson, Sr. (10072072.0001530)",111
"15-001","Colt Morningstar Black (10072072.0001100)",349
"15-001","Jaime Kiersten Brennan (10072072.0001390)",289
"15-001","Janie Monier (10072072.0001460)",149
"15-001","Josh Bokee (10072072.0001150)",123
"15-001","Veronica D. Lowe (10072072.0002200)",98
"15-001","or write-in:",27
"15-001","overvote",1
"15-001","undervote",304
"15-001",NA,104
"15-002","Chad King Wilson, Sr. (10072072.0001530)",965
"15-002","Colt Morningstar Black (10072072.0001100)",2251
"15-002","Jaime Kiersten Brennan (10072072.0001390)",2027
"15-002","Janie Monier (10072072.0001460)",1124
"15-002","Josh Bokee (10072072.0001150)",1042
"15-002","Veronica D. Lowe (10072072.0002200)",825
"15-002","or write-in:",192
"15-002","overvote",4
"15-002","undervote",1936
"15-002",NA,734
"15-003","Chad King Wilson, Sr. (10072072.0001530)",7
"15-003","Colt Morningstar Black (10072072.0001100)",38
"15-003","Jaime Kiersten Brennan (10072072.0001390)",24
"15-003","Janie Monier (10072072.0001460)",7
"15-003","Josh Bokee (10072072.0001150)",9
"15-003","Veronica D. Lowe (10072072.0002200)",10
"15-003","or write-in:",2
"15-003","undervote",29
"15-003",NA,10
"16-001","Chad King Wilson, Sr. (10072072.0001530)",763
"16-001","Colt Morningstar Black (10072072.0001100)",1213
"16-001","Jaime Kiersten Brennan (10072072.0001390)",1191
"16-001","Janie Monier (10072072.0001460)",846
"16-001","Josh Bokee (10072072.0001150)",794
"16-001","Veronica D. Lowe (10072072.0002200)",495
"16-001","or write-in:",133
"16-001","overvote",4
"16-001","undervote",1151
"16-001",NA,500
"17-001","Chad King Wilson, Sr. (10072072.0001530)",269
"17-001","Colt Morningstar Black (10072072.0001100)",658
"17-001","Jaime Kiersten Brennan (10072072.0001390)",529
"17-001","Janie Monier (10072072.0001460)",285
"17-001","Josh Bokee (10072072.0001150)",267
"17-001","Veronica D. Lowe (10072072.0002200)",224
"17-001","or write-in:",39
"17-001","overvote",1
"17-001","undervote",666
"17-001",NA,181
"18-001","Chad King Wilson, Sr. (10072072.0001530)",578
"18-001","Colt Morningstar Black (10072072.0001100)",844
"18-001","Jaime Kiersten Brennan (10072072.0001390)",952
"18-001","Janie Monier (10072072.0001460)",712
"18-001","Josh Bokee (10072072.0001150)",628
